City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,37.06,75,0,4.61,AR,1624756183
1,ola,59.5833,151.2833,59.72,78,40,7.05,RU,1624755636
2,bluff,-46.6,168.3333,51.8,87,89,13.8,NZ,1624756183
3,kapaa,22.0752,-159.319,85.98,73,90,3.0,US,1624756183
4,mount gambier,-37.8333,140.7667,55.08,82,27,3.24,AU,1624756184
5,port alfred,-33.5906,26.891,55.31,77,100,9.84,ZA,1624756017
6,kaitangata,-46.2817,169.8464,50.97,81,100,4.72,NZ,1624756184
7,busselton,-33.65,115.3333,57.04,72,100,29.12,AU,1624756184
8,san quintin,30.4833,-115.95,68.54,71,0,17.72,MX,1624756185
9,ratnagiri,16.9833,73.3,79.95,79,100,4.05,IN,1624756185
10,lorengau,-2.0226,147.2712,84.47,71,33,5.79,PG,1624755611
11,miyako,39.6367,141.9525,73.65,71,57,4.43,JP,1624756186
12,saurimo,-9.6608,20.3916,59.41,48,13,5.44,AO,1624756186
13,punta arenas,-53.15,-70.9167,37.51,75,90,12.66,CL,1624755961
14,arlit,18.7369,7.3853,91.8,9,0,15.52,NE,1624756186
15,umm lajj,25.0213,37.2685,84.52,41,85,8.84,SA,1624756187
16,torbay,47.6666,-52.7314,61.75,78,60,11.99,CA,1624755929
17,new norfolk,-42.7826,147.0587,54.9,69,88,3.0,AU,1624756187
18,puerto ayora,-0.7393,-90.3518,72.55,91,6,4.0,EC,1624756188
19,nalut,30.3333,10.85,86.52,13,1,9.71,LY,1624756188
20,hithadhoo,-0.6,73.0833,81.73,74,77,9.37,MV,1624756188
21,smithers,54.7804,-127.1743,92.91,33,0,1.5,CA,1624756189
22,vestmannaeyjar,63.4427,-20.2734,48.0,93,15,6.6,IS,1624756189
23,touros,-5.1989,-35.4608,76.1,77,44,17.05,BR,1624756189
24,mataura,-46.1927,168.8643,51.48,80,99,5.26,NZ,1624756190
25,faanui,-16.4833,-151.75,81.12,74,0,7.38,PF,1624755903
26,barrow,71.2906,-156.7887,50.02,74,20,14.97,US,1624756190
27,surt,31.2089,16.5887,82.81,42,0,6.71,LY,1624756190
28,northam,51.0333,-4.2167,61.39,92,97,13.62,GB,1624755918
29,east london,-33.0153,27.9116,57.34,64,100,6.78,ZA,1624755977
30,gagino,55.2314,45.0339,64.45,86,60,3.27,RU,1624756191
31,ust-nera,64.5667,143.2,79.57,30,13,3.13,RU,1624756191
32,atuona,-9.8,-139.0333,78.76,67,7,21.12,PF,1624756192
33,dalbandin,28.8947,64.4101,82.65,14,0,6.98,PK,1624755614
34,castro,-24.7911,-50.0119,58.15,83,1,4.85,BR,1624756192
35,paamiut,61.994,-49.6678,44.46,97,100,17.22,GL,1624755791
36,hermanus,-34.4187,19.2345,53.91,76,26,10.27,ZA,1624756192
37,guerrero negro,27.9769,-114.0611,67.91,76,23,20.11,MX,1624756193
38,koprivstica,43.2349,22.6205,61.86,92,4,0.85,RS,1624756193
39,vaini,-21.2,-175.2,75.36,73,40,12.66,TO,1624756193
40,ribeira grande,38.5167,-28.7,68.14,79,52,11.25,PT,1624756002
41,avarua,-21.2078,-159.775,75.25,64,75,12.66,CK,1624756194
42,pakxan,18.3778,103.6601,77.85,90,99,0.87,LA,1624756194
43,bengkulu,-3.8004,102.2655,77.07,85,11,3.06,ID,1624756195
44,bac lieu,9.285,105.7244,84.0,70,16,4.94,VN,1624756195
45,hobart,-42.8794,147.3294,55.26,63,40,4.0,AU,1624756008
46,rikitea,-23.1203,-134.9692,74.25,73,4,8.08,PF,1624756195
47,domna,51.8971,113.1573,68.16,64,6,2.24,RU,1624756196
48,kalianget,-7.05,113.9333,83.5,73,88,10.29,ID,1624756196
49,cartagena,10.3997,-75.5144,83.82,74,40,6.91,CO,1624756106
50,cape town,-33.9258,18.4232,56.88,74,18,4.0,ZA,1624755958
51,port elizabeth,-33.918,25.5701,51.1,80,95,7.52,ZA,1624756018
52,yellowknife,62.456,-114.3525,78.57,34,7,18.01,CA,1624756197
53,burnie,-41.0667,145.9167,56.91,66,75,10.58,AU,1624755895
54,sunbury,-37.5833,144.7333,56.7,67,40,12.66,AU,1624756197
55,albany,42.6001,-73.9662,78.75,78,100,7.4,US,1624756063
56,saskylakh,71.9167,114.0833,48.67,49,98,4.27,RU,1624756198
57,sabang,5.8933,95.3214,80.58,78,100,22.44,ID,1624755635
58,vardo,70.3705,31.1107,45.91,87,100,7.56,NO,1624755642
59,mar del plata,-38.0023,-57.5575,51.13,75,0,10.0,AR,1624756198
60,alizai,33.5383,70.3462,75.47,40,1,1.88,PK,1624756199
61,provideniya,64.3833,-173.3,50.4,76,100,5.55,RU,1624756199
62,gamboma,-1.8764,15.8644,75.27,67,8,4.16,CG,1624756199
63,florianopolis,-27.6146,-48.5012,67.41,73,75,14.97,BR,1624756199
